Wavelength Scan - Scanning,,,,,,,,,,,
,,,,,,,,,,,
Instrument Name:,,,DU 800 Spectrophotometer,,,,,,,,
Serial Number:,,,8002850,,,,,,,,
Software Version:,,,"2.1,  Build 5",,,,,,,,
Firmware Version:,,,2.0.102,,,,,,,,
Method Name:,,,LTER Chl,,,,,,,,
Organization:,,,,,,,,,,,
Department:,,,,,,,,,,,
Operator:,,,,,,,,,,,
Product Name:,,,,,,,,,,,
Component Name:,,,,,,,,,,,
Lot Number:,,,,,,,,,,,
Comment:,,,,,,,,,,,
Signature 1:,,,,,,,,,,,
Signature 2:,,,,,,,,,,,
Signature 3:,,,,,,,,,,,
Signature 4:,,,,,,,,,,,
Signature 5:,,,,,,,,,,,
,,,,,,,,,,,
#,Filename,Acquired,,,,,,,,,
1,,3/2/22 9:32,,,,,,,,,
,,,,,,,,,,,
Scan Mode:,,,Abs,,,,,,,,
Start Wavelength:,,,600.0 nm,,,,,,,,
End Wavelength:,,,775.0 nm,,,,,,,,
Wavelength Interval:,,,0.5 nm,,,,,,,,
Scan Speed:,,,600 nm/min,,,,,,,,
,,,,,,,,,,,
,Sample Name,,Description,,,,,,,,
1,MDT_220130,,150,,,,,,,,
2,O-N_220130,,200,,,,,,,,
3,O-S_220130,,250,,,,,,,,
4,UM-ARB_220131,,200,,,,,,,,
5,LM-ARB_220131,,200,,,,,,,,
6,OPP-W_220131,,100,,,,,,,,
7,OPP-E_220131,,100,,,,,,,,
8,DOBA7_220131,,150,,,,,,,,
9,HP_220131,,400,,,,,,,,
10,L60_220131,,200,,,,,,,,
11,BLA,,3000,,,,,,,,
,,,,,,,,,,,
nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8,Abs 9,Abs 10,Abs 11
600,0.0794,0.024,0.0213,0.0133,0.0125,0.0813,0.1481,0.0333,0.0094,0.0489,0.0004
600.5,0.0799,0.0243,0.0213,0.0133,0.0127,0.082,0.1492,0.0334,0.0094,0.0494,0.0004
601,0.0806,0.0245,0.0214,0.0133,0.0128,0.0829,0.1506,0.0336,0.0093,0.0499,0.0004
601.5,0.0814,0.0246,0.0214,0.0134,0.013,0.0836,0.1516,0.0337,0.0094,0.0503,0.0004
602,0.0821,0.0247,0.0215,0.0134,0.0131,0.0844,0.1527,0.0339,0.0093,0.0506,0.0003
602.5,0.083,0.0248,0.0216,0.0134,0.0132,0.0854,0.154,0.0341,0.0093,0.0509,0.0004
603,0.0838,0.0249,0.0216,0.0134,0.0134,0.0861,0.1551,0.0342,0.0093,0.0512,0.0004
603.5,0.0846,0.0249,0.0216,0.0133,0.0135,0.0868,0.1562,0.0343,0.0092,0.0514,0.0003
604,0.0856,0.025,0.0217,0.0134,0.0137,0.0878,0.1575,0.0345,0.0092,0.0517,0.0004
604.5,0.0863,0.025,0.0218,0.0133,0.0138,0.0886,0.1586,0.0346,0.0091,0.0519,0.0003
605,0.0871,0.0251,0.0218,0.0134,0.014,0.0893,0.1598,0.0348,0.0091,0.0522,0.0003
605.5,0.088,0.0252,0.0219,0.0134,0.0142,0.0902,0.1611,0.035,0.009,0.0525,0.0003
606,0.0886,0.0252,0.0219,0.0134,0.0143,0.0909,0.1621,0.0351,0.0089,0.0527,0.0003
606.5,0.0894,0.0252,0.022,0.0135,0.0145,0.0916,0.163,0.0353,0.009,0.053,0.0004
607,0.0902,0.0252,0.022,0.0136,0.0146,0.0923,0.164,0.0354,0.009,0.0533,0.0004
607.5,0.0909,0.0252,0.022,0.0136,0.0148,0.0929,0.1649,0.0355,0.0091,0.0536,0.0004
608,0.0916,0.0251,0.0221,0.0137,0.0149,0.0936,0.1658,0.0356,0.0091,0.0538,0.0004
608.5,0.0925,0.0251,0.0221,0.0137,0.0152,0.0944,0.167,0.0358,0.0092,0.054,0.0004
609,0.0931,0.0251,0.0221,0.0137,0.0153,0.0949,0.1677,0.0358,0.0092,0.0542,0.0004
609.5,0.0937,0.0251,0.0222,0.0137,0.0154,0.0953,0.1686,0.036,0.0093,0.0543,0.0004
610,0.0945,0.0251,0.0222,0.0137,0.0156,0.0959,0.1697,0.0361,0.0094,0.0544,0.0004
610.5,0.0951,0.025,0.0222,0.0137,0.0157,0.0963,0.1705,0.0362,0.0095,0.0545,0.0004
611,0.0957,0.0249,0.0223,0.0137,0.0159,0.0968,0.1715,0.0363,0.0095,0.0546,0.0004
611.5,0.0962,0.0249,0.0223,0.0138,0.016,0.0971,0.1723,0.0364,0.0096,0.0546,0.0004
612,0.0964,0.0247,0.0223,0.0138,0.0162,0.0975,0.173,0.0365,0.0096,0.0545,0.0004
612.5,0.0968,0.0245,0.0223,0.0137,0.0163,0.0978,0.1737,0.0365,0.0097,0.0545,0.0003
613,0.0972,0.0244,0.0223,0.0136,0.0164,0.0981,0.1742,0.0366,0.0097,0.0544,0.0004
613.5,0.0975,0.0242,0.0224,0.0136,0.0165,0.0983,0.1747,0.0366,0.0097,0.0542,0.0003
614,0.0978,0.0239,0.0223,0.0135,0.0166,0.0985,0.1752,0.0367,0.0097,0.0539,0.0003
614.5,0.098,0.0237,0.0223,0.0134,0.0167,0.0987,0.1757,0.0367,0.0098,0.0538,0.0003
615,0.0982,0.0236,0.0223,0.0133,0.0168,0.0988,0.176,0.0368,0.0098,0.0537,0.0004
615.5,0.0985,0.0234,0.0223,0.0132,0.0169,0.0989,0.1763,0.0368,0.0099,0.0537,0.0004
616,0.0987,0.0233,0.0223,0.0131,0.0169,0.0989,0.1766,0.0368,0.0098,0.0537,0.0003
616.5,0.0989,0.0233,0.0223,0.0131,0.017,0.0989,0.1768,0.0368,0.0098,0.0538,0.0003
617,0.0992,0.0232,0.0222,0.0132,0.017,0.0989,0.177,0.0368,0.0098,0.054,0.0003
617.5,0.0994,0.0232,0.0222,0.0132,0.0171,0.0988,0.1771,0.0368,0.0099,0.0543,0.0004
618,0.0996,0.0232,0.0222,0.0133,0.0171,0.0987,0.1772,0.0368,0.01,0.0545,0.0004
618.5,0.0999,0.0231,0.0221,0.0133,0.0171,0.0985,0.1772,0.0368,0.0099,0.0545,0.0003
619,0.1001,0.0231,0.0221,0.0133,0.0172,0.0984,0.1773,0.0368,0.0099,0.0546,0.0004
619.5,0.1004,0.0231,0.0221,0.0133,0.0173,0.0983,0.1774,0.0368,0.0098,0.0548,0.0003
620,0.1007,0.0231,0.0221,0.0134,0.0174,0.0981,0.1775,0.0368,0.0098,0.055,0.0004
620.5,0.1007,0.0231,0.0221,0.0134,0.0174,0.0979,0.1777,0.0368,0.0098,0.0551,0.0004
621,0.1006,0.0231,0.022,0.0134,0.0174,0.0977,0.1778,0.0367,0.0097,0.0551,0.0003
621.5,0.1006,0.0232,0.0219,0.0134,0.0175,0.0976,0.1779,0.0367,0.0098,0.0553,0.0003
622,0.1006,0.0232,0.0219,0.0133,0.0176,0.0975,0.1781,0.0367,0.0098,0.0553,0.0004
622.5,0.1005,0.0233,0.0219,0.0132,0.0177,0.0973,0.1781,0.0367,0.0098,0.0553,0.0003
623,0.1005,0.0233,0.0218,0.0132,0.0177,0.0971,0.1783,0.0368,0.0098,0.0553,0.0004
623.5,0.1005,0.0234,0.0218,0.0132,0.0178,0.097,0.1785,0.0367,0.0097,0.0553,0.0004
624,0.1005,0.0235,0.0218,0.0133,0.0179,0.0968,0.1788,0.0368,0.0097,0.0554,0.0004
624.5,0.1006,0.0235,0.0217,0.0133,0.0179,0.0966,0.179,0.0367,0.0097,0.0554,0.0004
625,0.1005,0.0236,0.0216,0.0134,0.0179,0.0966,0.1793,0.0368,0.0097,0.0555,0.0004
625.5,0.1005,0.0237,0.0216,0.0133,0.0179,0.0964,0.1796,0.0368,0.0096,0.0554,0.0004
626,0.1006,0.0238,0.0215,0.0133,0.0179,0.0963,0.1798,0.0368,0.0095,0.0553,0.0004
626.5,0.1005,0.0239,0.0215,0.0131,0.0179,0.0962,0.1802,0.0367,0.0095,0.055,0.0004
627,0.1005,0.0241,0.0214,0.0132,0.018,0.0961,0.1804,0.0368,0.0095,0.0547,0.0004
627.5,0.1005,0.0243,0.0214,0.0131,0.018,0.0961,0.1806,0.0368,0.0095,0.0544,0.0004
628,0.1005,0.0246,0.0214,0.0131,0.0181,0.0961,0.181,0.0369,0.0095,0.0541,0.0004
628.5,0.1006,0.0248,0.0213,0.0131,0.0181,0.0961,0.1813,0.0369,0.0094,0.0538,0.0004
629,0.1007,0.0249,0.0213,0.0129,0.0182,0.0961,0.1817,0.0369,0.0094,0.0534,0.0004
629.5,0.1009,0.0252,0.0212,0.0128,0.0182,0.0962,0.1821,0.0371,0.0093,0.053,0.0004
630,0.1009,0.0254,0.0211,0.0128,0.0182,0.0963,0.1824,0.0372,0.0094,0.0525,0.0004
630.5,0.1009,0.0256,0.0211,0.0127,0.0183,0.0963,0.1826,0.0372,0.0094,0.0521,0.0004
631,0.1008,0.0259,0.021,0.0126,0.0183,0.0965,0.183,0.0373,0.0094,0.0518,0.0004
631.5,0.1007,0.0261,0.0209,0.0126,0.0183,0.0967,0.1833,0.0373,0.0094,0.0516,0.0004
632,0.1006,0.0262,0.0209,0.0125,0.0182,0.097,0.1837,0.0373,0.0094,0.0514,0.0004
632.5,0.1005,0.0263,0.0209,0.0126,0.0182,0.0973,0.1841,0.0374,0.0095,0.0514,0.0004
633,0.1002,0.0263,0.0209,0.0127,0.0182,0.0975,0.1844,0.0375,0.0095,0.0513,0.0004
633.5,0.1001,0.0263,0.0209,0.0126,0.0183,0.0979,0.1848,0.0376,0.0096,0.0512,0.0004
